Statistic,ipv4_prefix_count,ipv6_prefix_count,ipv4_neighbor_count,ipv6_neighbor_count,Total_Changes
55818,17.0,15.0,,,32.0
395954,2.0,4.0,3.0,7.0,16.0
33696,9.0,3.0,4.0,16.0,32.0
62917,6.0,7.0,4.0,3.0,20.0
18966,6.0,6.0,,1.0,13.0
27630,8.0,5.0,,2.0,15.0
399976,11.0,11.0,11.0,10.0,43.0
147287,1.0,,,16.0,17.0
149296,1.0,2.0,2.0,1.0,6.0
13737,10.0,10.0,7.0,4.0,31.0
400042,2.0,9.0,3.0,1.0,15.0
54048,5.0,,,2.0,7.0
2153,15.0,5.0,,1.0,21.0
2152,17.0,12.0,12.0,21.0,62.0
13807,16.0,3.0,,4.0,23.0
16851,7.0,3.0,,2.0,12.0
32748,1.0,8.0,1.0,2.0,12.0
22995,5.0,11.0,1.0,6.0,23.0
36315,1.0,,,1.0,2.0
133982,10.0,5.0,4.0,17.0,36.0
9500,10.0,12.0,,,22.0
57187,7.0,10.0,,1.0,18.0
28598,20.0,20.0,1.0,11.0,52.0
6503,11.0,7.0,2.0,14.0,34.0
24203,16.0,7.0,13.0,17.0,53.0
7617,5.0,10.0,,,15.0
7632,17.0,15.0,,4.0,36.0
63949,16.0,16.0,11.0,20.0,63.0
28006,7.0,2.0,11.0,14.0,34.0
812,19.0,13.0,15.0,21.0,68.0
45489,15.0,19.0,,,34.0
18734,19.0,13.0,2.0,7.0,41.0
4713,15.0,13.0,,5.0,33.0
7470,10.0,8.0,2.0,12.0,32.0
13999,14.0,12.0,20.0,21.0,67.0
264668,19.0,17.0,14.0,16.0,66.0
