Statistic,ipv4_prefix_count,ipv6_prefix_count,ipv4_neighbor_count,ipv6_neighbor_count,Total_Changes
262186,4.0,6.0,1.0,5.0,16.0
262532,1.0,2.0,,,3.0
266240,4.0,1.0,,3.0,8.0
267201,6.0,4.0,,,10.0
262761,5.0,4.0,2.0,7.0,18.0
8829,1.0,,,,1.0
208924,1.0,,,,1.0
132933,1.0,2.0,,,3.0
27750,2.0,2.0,,,4.0
28189,2.0,5.0,1.0,,8.0
267566,1.0,,,,1.0
263144,3.0,,,,3.0
267575,2.0,3.0,,,5.0
3597,2.0,2.0,2.0,,6.0
262503,7.0,8.0,,,15.0
61586,1.0,3.0,,,4.0
52696,1.0,2.0,,,3.0
272193,2.0,1.0,,,3.0
264525,3.0,4.0,,9.0,16.0
267614,2.0,1.0,2.0,,5.0
262494,8.0,8.0,,2.0,18.0
262663,7.0,,7.0,,14.0
264598,7.0,5.0,,1.0,13.0
14080,2.0,3.0,3.0,4.0,12.0
263599,2.0,2.0,,,4.0
212250,2.0,,,,2.0
10,2.0,,1.0,,3.0
207137,1.0,1.0,,,2.0
208802,1.0,,,,1.0
20912,3.0,,,,3.0
25198,2.0,,2.0,,4.0
29611,2.0,,,1.0,3.0
61226,1.0,,,,1.0
270353,2.0,,1.0,,3.0
34790,2.0,2.0,,2.0,6.0
45349,5.0,,,,5.0
63969,1.0,6.0,2.0,,9.0
59239,1.0,1.0,1.0,,3.0
132323,1.0,,,,1.0
135724,3.0,2.0,,,5.0
45355,7.0,,,,7.0
131717,1.0,,,,1.0
2635,3.0,4.0,,3.0,10.0
137367,5.0,2.0,,,7.0
17483,4.0,1.0,3.0,2.0,10.0
58912,1.0,,1.0,,2.0
132220,2.0,,,,2.0
4621,6.0,3.0,6.0,,15.0
134014,2.0,,,,2.0
134687,9.0,,2.0,,11.0
17754,1.0,,,,1.0
199785,1.0,,2.0,,3.0
24989,1.0,,,,1.0
39505,3.0,,,,3.0
57743,5.0,,,,5.0
62410,2.0,,,,2.0
200081,1.0,1.0,,,2.0
208393,2.0,,,,2.0
208367,1.0,1.0,,,2.0
203446,6.0,,2.0,,8.0
29551,1.0,,,,1.0
201500,2.0,,2.0,,4.0
207944,1.0,,,,1.0
201675,1.0,1.0,,,2.0
59588,2.0,,4.0,,6.0
42541,4.0,3.0,,,7.0
266353,7.0,1.0,2.0,,10.0
61573,5.0,1.0,,,6.0
53019,3.0,3.0,,,6.0
61758,2.0,7.0,,6.0,15.0
268470,2.0,,,,2.0
268200,2.0,4.0,1.0,12.0,19.0
262474,3.0,1.0,1.0,1.0,6.0
264297,2.0,2.0,1.0,,5.0
268331,4.0,6.0,,,10.0
263998,3.0,3.0,,,6.0
268579,2.0,1.0,,,3.0
23201,5.0,5.0,,2.0,12.0
264567,6.0,1.0,,,7.0
268690,2.0,3.0,1.0,,6.0
28198,2.0,6.0,3.0,5.0,16.0
265937,1.0,2.0,,,3.0
263456,4.0,1.0,3.0,,8.0
262642,4.0,,,,4.0
262869,3.0,4.0,,3.0,10.0
263047,3.0,8.0,,1.0,12.0
269201,3.0,1.0,2.0,,6.0
262734,2.0,6.0,,,8.0
262901,8.0,1.0,,,9.0
27693,1.0,2.0,,,3.0
271145,4.0,6.0,,,10.0
266315,1.0,2.0,,,3.0
2716,4.0,4.0,,,8.0
263500,3.0,5.0,9.0,4.0,21.0
268101,5.0,2.0,,,7.0
266416,2.0,2.0,,,4.0
268091,2.0,,,,2.0
268120,1.0,,1.0,,2.0
268106,1.0,,,,1.0
52660,1.0,,,,1.0
267056,8.0,3.0,,,11.0
52465,3.0,,,,3.0
28210,1.0,6.0,,,7.0
263750,1.0,,,,1.0
264552,3.0,2.0,,,5.0
