Statistic,ipv4_prefix_count,ipv6_prefix_count,ipv4_neighbor_count,ipv6_neighbor_count,Total_Changes
6768,11.0,5.0,,,16.0
2603,11.0,3.0,,,14.0
29632,10.0,22.0,5.0,4.0,41.0
51178,6.0,,,,6.0
33491,12.0,,8.0,7.0,27.0
43561,10.0,2.0,,,12.0
44901,16.0,4.0,,,20.0
58243,1.0,4.0,3.0,,8.0
16397,4.0,5.0,,,9.0
14537,5.0,4.0,1.0,,10.0
210021,3.0,2.0,1.0,,6.0
13213,6.0,3.0,6.0,,15.0
12200,4.0,,2.0,,6.0
8369,16.0,,18.0,,34.0
12302,20.0,1.0,,,21.0
12406,6.0,,1.0,,7.0
56340,2.0,,,,2.0
50113,5.0,,3.0,,8.0
3267,13.0,4.0,3.0,,20.0
7029,19.0,8.0,12.0,1.0,40.0
52102,2.0,2.0,2.0,1.0,7.0
48276,4.0,,1.0,,5.0
15133,5.0,8.0,3.0,6.0,22.0
59605,16.0,7.0,2.0,,25.0
20278,3.0,7.0,4.0,1.0,15.0
24889,5.0,4.0,,,9.0
51873,4.0,,,,4.0
212815,17.0,13.0,2.0,,32.0
60721,1.0,,17.0,,18.0
22773,22.0,4.0,21.0,14.0,61.0
50058,13.0,28.0,,2.0,43.0
61138,8.0,4.0,27.0,2.0,41.0
54600,1.0,,10.0,,11.0
60159,5.0,1.0,,,6.0
204384,2.0,,,,2.0
13094,8.0,12.0,,,20.0
41107,4.0,1.0,,,5.0
8308,14.0,9.0,2.0,,25.0
31549,3.0,1.0,12.0,,16.0
2854,13.0,3.0,1.0,,17.0
11426,5.0,,3.0,1.0,9.0
33132,14.0,2.0,4.0,4.0,24.0
29467,2.0,6.0,1.0,,9.0
60731,1.0,,,,1.0
5089,10.0,,5.0,,15.0
38195,7.0,15.0,2.0,,24.0
12703,9.0,1.0,16.0,,26.0
29550,3.0,4.0,,,7.0
44574,1.0,2.0,1.0,1.0,5.0
3261,13.0,,,,13.0
57455,16.0,,,,16.0
206810,7.0,,,,7.0
3399,1.0,11.0,4.0,,16.0
49808,3.0,9.0,,,12.0
200568,1.0,,,,1.0
58192,2.0,1.0,2.0,,5.0
59659,4.0,,,,4.0
24631,9.0,,16.0,,25.0
9125,6.0,,2.0,,8.0
20559,2.0,5.0,1.0,,8.0
20712,4.0,6.0,1.0,1.0,12.0
19151,7.0,3.0,,,10.0
42708,6.0,3.0,2.0,,11.0
48728,3.0,3.0,3.0,,9.0
138968,5.0,1.0,16.0,1.0,23.0
268581,2.0,,18.0,,20.0
53013,24.0,23.0,1.0,,48.0
397630,2.0,,6.0,,8.0
201971,9.0,4.0,2.0,,15.0
57099,3.0,5.0,,,8.0
61231,3.0,2.0,1.0,1.0,7.0
9930,11.0,8.0,,1.0,20.0
200482,2.0,,21.0,,23.0
46887,22.0,10.0,12.0,4.0,48.0
45102,9.0,4.0,7.0,6.0,26.0
44477,6.0,4.0,7.0,6.0,23.0
2860,9.0,7.0,,,16.0
135391,8.0,9.0,1.0,,18.0
206825,2.0,4.0,,,6.0
2027,8.0,11.0,,,19.0
20001,11.0,4.0,4.0,9.0,28.0
20115,16.0,4.0,10.0,12.0,42.0
27552,3.0,4.0,1.0,,8.0
39305,1.0,2.0,,,3.0
13786,17.0,15.0,,,32.0
60503,21.0,1.0,,,22.0
7195,19.0,20.0,2.0,,41.0
5617,23.0,2.0,,,25.0
6697,8.0,6.0,3.0,,17.0
50107,6.0,5.0,,1.0,12.0
34019,2.0,9.0,,,11.0
44530,2.0,6.0,,,8.0
44600,10.0,8.0,2.0,,20.0
47674,10.0,16.0,3.0,2.0,31.0
21497,19.0,5.0,1.0,,25.0
1136,1.0,7.0,,,8.0
48166,5.0,,,,5.0
49367,6.0,1.0,,,7.0
43298,14.0,,1.0,,15.0
39175,7.0,5.0,2.0,1.0,15.0
577,12.0,4.0,7.0,1.0,24.0
41653,2.0,4.0,,,6.0
30860,3.0,,4.0,,7.0
15377,7.0,,,,7.0
17941,2.0,1.0,1.0,,4.0
203417,1.0,1.0,,,2.0
9145,13.0,11.0,1.0,1.0,26.0
47734,7.0,2.0,,,9.0
29802,7.0,8.0,20.0,4.0,39.0
35758,4.0,6.0,6.0,,16.0
27064,8.0,1.0,16.0,1.0,26.0
367,1.0,1.0,27.0,,29.0
27066,8.0,,4.0,,12.0
45820,22.0,10.0,4.0,,36.0
23089,6.0,,5.0,,11.0
32798,2.0,,2.0,,4.0
33651,16.0,1.0,2.0,8.0,27.0
395753,2.0,,2.0,,4.0
27258,3.0,,,,3.0
395658,4.0,4.0,5.0,2.0,15.0
13649,8.0,,12.0,,20.0
40264,5.0,2.0,2.0,21.0,30.0
10796,15.0,12.0,,1.0,28.0
62,4.0,,1.0,,5.0
20454,3.0,1.0,1.0,,5.0
7385,11.0,4.0,1.0,,16.0
13536,5.0,2.0,3.0,,10.0
13767,4.0,3.0,6.0,2.0,15.0
32098,17.0,13.0,3.0,22.0,55.0
17072,13.0,4.0,5.0,13.0,35.0
7725,4.0,1.0,1.0,3.0,9.0
13367,4.0,4.0,1.0,3.0,12.0
7459,2.0,2.0,2.0,,6.0
11427,14.0,4.0,,1.0,19.0
136897,2.0,1.0,1.0,,4.0
14828,6.0,,1.0,,7.0
7784,2.0,4.0,,,6.0
24429,4.0,4.0,4.0,1.0,13.0
12271,8.0,,,1.0,9.0
13414,6.0,3.0,,,9.0
24309,9.0,,3.0,1.0,13.0
7016,10.0,2.0,2.0,5.0,19.0
13760,16.0,9.0,6.0,,31.0
18712,3.0,2.0,,,5.0
17378,6.0,4.0,3.0,,13.0
33570,4.0,,1.0,,5.0
37282,20.0,10.0,,,30.0
55256,6.0,,2.0,,8.0
7713,24.0,23.0,6.0,8.0,61.0
54994,9.0,6.0,16.0,5.0,36.0
16504,2.0,,1.0,,3.0
11019,10.0,4.0,1.0,6.0,21.0
7795,5.0,1.0,3.0,,9.0
44735,1.0,8.0,1.0,1.0,11.0
393748,1.0,,,,1.0
13954,1.0,,,,1.0
12129,3.0,3.0,,,6.0
11272,8.0,11.0,1.0,,20.0
24482,7.0,11.0,2.0,,20.0
33657,11.0,2.0,2.0,11.0,26.0
394000,2.0,,,,2.0
395290,1.0,,1.0,,2.0
26801,5.0,7.0,1.0,1.0,14.0
8151,13.0,1.0,27.0,8.0,49.0
7552,13.0,13.0,13.0,2.0,41.0
265855,6.0,4.0,,6.0,16.0
27951,9.0,9.0,4.0,3.0,25.0
264646,2.0,,4.0,,6.0
52468,23.0,21.0,9.0,8.0,61.0
21575,4.0,13.0,18.0,,35.0
32869,14.0,2.0,,,16.0
398337,1.0,,3.0,,4.0
62943,2.0,4.0,7.0,,13.0
7015,6.0,1.0,7.0,11.0,25.0
19108,9.0,,4.0,,13.0
11857,1.0,,4.0,,5.0
3801,4.0,1.0,5.0,,10.0
2,9.0,2.0,9.0,2.0,22.0
19229,6.0,6.0,1.0,,13.0
12083,2.0,1.0,10.0,,13.0
22302,1.0,,1.0,,2.0
20055,9.0,8.0,,,17.0
30175,1.0,,1.0,,2.0
394152,3.0,,,,3.0
11796,6.0,6.0,,2.0,14.0
13977,4.0,,4.0,,8.0
19754,6.0,1.0,,,7.0
11992,2.0,,1.0,,3.0
46216,4.0,,,,4.0
24088,6.0,9.0,2.0,,17.0
45899,19.0,17.0,12.0,3.0,51.0
4761,21.0,11.0,3.0,,35.0
18013,8.0,,10.0,,18.0
17557,18.0,16.0,5.0,,39.0
9541,4.0,,9.0,2.0,15.0
17762,17.0,11.0,,,28.0
18002,17.0,9.0,9.0,,35.0
58552,17.0,12.0,,,29.0
17665,18.0,4.0,6.0,,28.0
44547,2.0,,12.0,,14.0
58656,11.0,4.0,,,15.0
10075,25.0,18.0,,,43.0
16637,15.0,10.0,2.0,,27.0
29465,20.0,,8.0,,28.0
55824,25.0,7.0,5.0,26.0,63.0
18229,14.0,10.0,5.0,,29.0
9829,22.0,14.0,16.0,6.0,58.0
2518,4.0,7.0,,,11.0
132165,7.0,,2.0,,9.0
13979,2.0,,22.0,,24.0
10396,9.0,2.0,7.0,,18.0
714,4.0,10.0,16.0,9.0,39.0
3,4.0,,6.0,,10.0
4230,22.0,21.0,,,43.0
18678,7.0,3.0,16.0,,26.0
45430,5.0,6.0,2.0,,13.0
398465,3.0,1.0,11.0,,15.0
53667,12.0,25.0,2.0,28.0,67.0
212618,1.0,4.0,1.0,5.0,11.0
33696,2.0,,4.0,,6.0
13737,5.0,5.0,3.0,2.0,15.0
54048,3.0,,1.0,,4.0
2152,7.0,,10.0,7.0,24.0
54098,6.0,,4.0,,10.0
24203,11.0,1.0,7.0,,19.0
7470,1.0,5.0,5.0,,11.0
812,8.0,5.0,6.0,7.0,26.0
45489,7.0,8.0,,,15.0
9329,6.0,,2.0,3.0,11.0
4713,4.0,2.0,,,6.0
264668,7.0,3.0,5.0,12.0,27.0
14840,22.0,24.0,7.0,,53.0
23947,22.0,18.0,2.0,,42.0
10242,7.0,6.0,,,13.0
62904,4.0,,2.0,,6.0
49532,2.0,2.0,2.0,1.0,7.0
8757,19.0,3.0,,,22.0
32298,1.0,,5.0,,6.0
36692,9.0,5.0,7.0,3.0,24.0
38731,6.0,5.0,2.0,,13.0
11492,1.0,,14.0,,15.0
21559,6.0,5.0,2.0,,13.0
917,7.0,7.0,3.0,,17.0
4459,6.0,,1.0,,7.0
53356,7.0,14.0,5.0,26.0,52.0
136620,12.0,3.0,,,15.0
46475,3.0,,3.0,1.0,7.0
4213,3.0,1.0,15.0,,19.0
52210,7.0,7.0,,2.0,16.0
12186,9.0,11.0,,,20.0
56655,15.0,15.0,,2.0,32.0
398296,2.0,,2.0,,4.0
400517,1.0,1.0,,,2.0
924,7.0,17.0,1.0,2.0,27.0
30036,9.0,,11.0,23.0,43.0
15290,10.0,,,3.0,13.0
396842,2.0,,,,2.0
397952,1.0,,,,1.0
16904,3.0,7.0,,,10.0
14445,2.0,,3.0,,5.0
11232,6.0,,,,6.0
14638,5.0,,3.0,2.0,10.0
16164,4.0,3.0,,,7.0
60326,2.0,16.0,,,18.0
376,3.0,4.0,2.0,2.0,11.0
394256,1.0,10.0,1.0,,12.0
400719,2.0,,,,2.0
11260,4.0,,2.0,,6.0
8001,4.0,2.0,,,6.0
151338,1.0,,1.0,4.0,6.0
38008,8.0,12.0,,6.0,26.0
20326,5.0,4.0,,,9.0
13428,4.0,,6.0,,10.0
23379,5.0,4.0,,,9.0
3204,3.0,13.0,,,16.0
48024,19.0,5.0,7.0,2.0,33.0
62485,5.0,,,,5.0
212895,9.0,25.0,,2.0,36.0
203314,1.0,11.0,1.0,5.0,18.0
212483,1.0,14.0,,5.0,20.0
52025,12.0,13.0,2.0,7.0,34.0
18470,2.0,,,1.0,3.0
54113,4.0,4.0,6.0,11.0,25.0
54133,3.0,5.0,,1.0,9.0
46246,3.0,,3.0,,6.0
62538,3.0,,,,3.0
398447,2.0,7.0,,,9.0
398549,12.0,,,2.0,14.0
35661,16.0,23.0,,1.0,40.0
51765,1.0,,7.0,,8.0
394968,3.0,4.0,,,7.0
28624,8.0,7.0,3.0,3.0,21.0
5056,6.0,7.0,4.0,1.0,18.0
399868,3.0,8.0,2.0,2.0,15.0
31898,6.0,7.0,11.0,,24.0
32708,3.0,,8.0,,11.0
58952,4.0,6.0,,,10.0
39138,1.0,5.0,1.0,2.0,9.0
22927,14.0,4.0,3.0,,21.0
16814,8.0,,1.0,,9.0
6057,10.0,13.0,,,23.0
26496,4.0,,4.0,,8.0
5769,3.0,,,,3.0
6134,8.0,,2.0,,10.0
7049,24.0,9.0,2.0,,35.0
46997,7.0,9.0,,,16.0
237,1.0,6.0,3.0,2.0,12.0
36231,5.0,,,,5.0
395761,2.0,,3.0,,5.0
22646,1.0,,3.0,,4.0
13524,5.0,,,,5.0
7738,26.0,23.0,,,49.0
8167,18.0,20.0,,,38.0
266583,20.0,15.0,,3.0,38.0
28158,7.0,5.0,4.0,,16.0
53062,22.0,22.0,2.0,2.0,48.0
28329,22.0,25.0,2.0,2.0,51.0
14868,19.0,14.0,7.0,5.0,45.0
22689,13.0,,6.0,,19.0
14282,6.0,5.0,1.0,1.0,13.0
264996,11.0,3.0,,,14.0
265442,8.0,12.0,,2.0,22.0
265269,16.0,13.0,,,29.0
263558,20.0,11.0,8.0,2.0,41.0
61832,23.0,21.0,1.0,7.0,52.0
264997,9.0,6.0,,,15.0
270481,3.0,,4.0,,7.0
21574,21.0,17.0,,,38.0
265078,9.0,,,,9.0
61512,7.0,4.0,,1.0,12.0
266951,3.0,4.0,,,7.0
266931,5.0,9.0,,1.0,15.0
265684,5.0,,,,5.0
52361,10.0,1.0,,,11.0
263444,17.0,17.0,1.0,,35.0
