Statistic,ipv4_prefix_count,ipv6_prefix_count,ipv4_neighbor_count,ipv6_neighbor_count,Total_Changes
141416,1.0,,,,1.0
141146,1.0,,,,1.0
141566,1.0,,,,1.0
141745,2.0,,,,2.0
141782,2.0,,,,2.0
141879,2.0,,3.0,,5.0
141939,1.0,1.0,,,2.0
147131,1.0,,,,1.0
147070,1.0,,,,1.0
147122,1.0,,,,1.0
212358,2.0,,,,2.0
149588,3.0,,2.0,,5.0
149934,1.0,,,,1.0
132678,2.0,,,,2.0
39286,2.0,,,,2.0
16,3.0,,3.0,,6.0
3573,1.0,3.0,1.0,6.0,11.0
12148,1.0,,,,1.0
262993,1.0,,,,1.0
49571,3.0,1.0,,,4.0
4270,2.0,2.0,3.0,3.0,10.0
265928,1.0,,1.0,,2.0
62637,1.0,,,,1.0
264177,2.0,,,,2.0
264229,2.0,,2.0,,4.0
212250,4.0,,,,4.0
647,1.0,,11.0,,12.0
47065,1.0,,5.0,,6.0
2046,3.0,,3.0,,6.0
203746,1.0,,,,1.0
270704,1.0,,,,1.0
197451,2.0,,,,2.0
200589,2.0,,,,2.0
200843,2.0,,,,2.0
7872,1.0,1.0,1.0,,3.0
7741,1.0,,,,1.0
265972,1.0,,,,1.0
19220,1.0,,,,1.0
262644,1.0,,,,1.0
265111,2.0,2.0,,,4.0
272624,1.0,,,,1.0
271324,1.0,,,,1.0
262934,2.0,,2.0,,4.0
264928,3.0,,,,3.0
264942,2.0,2.0,,,4.0
27708,2.0,,,,2.0
266382,1.0,1.0,,,2.0
262593,1.0,,,,1.0
394353,2.0,,,,2.0
399357,2.0,,,,2.0
197893,2.0,,3.0,,5.0
50121,1.0,,,,1.0
43836,2.0,1.0,,,3.0
263442,1.0,,,,1.0
52797,1.0,,,,1.0
262441,2.0,,2.0,,4.0
52652,2.0,,,,2.0
262813,5.0,2.0,,,7.0
262540,1.0,,,,1.0
271639,1.0,,1.0,,2.0
52578,1.0,,,,1.0
271186,7.0,,,,7.0
272465,1.0,1.0,,,2.0
46049,1.0,,1.0,,2.0
60815,2.0,,2.0,,4.0
199826,2.0,,2.0,,4.0
201982,2.0,,2.0,,4.0
59625,3.0,2.0,5.0,2.0,12.0
204149,2.0,,4.0,,6.0
204778,1.0,3.0,,,4.0
203301,2.0,,,,2.0
203257,2.0,,3.0,,5.0
202699,2.0,,1.0,,3.0
39372,2.0,,,,2.0
202454,1.0,,,,1.0
205997,2.0,,2.0,,4.0
205169,3.0,,3.0,,6.0
203653,2.0,,2.0,,4.0
211090,3.0,1.0,1.0,1.0,6.0
211534,3.0,,,,3.0
48175,2.0,,2.0,,4.0
203824,1.0,,,,1.0
263101,3.0,3.0,,,6.0
262822,1.0,,1.0,,2.0
53072,1.0,1.0,,,2.0
11364,1.0,,,,1.0
35713,1.0,,,,1.0
198060,1.0,,,,1.0
207825,1.0,1.0,,,2.0
28750,1.0,,,,1.0
44580,6.0,,,,6.0
60434,3.0,,,,3.0
28989,2.0,,,,2.0
207928,2.0,,,,2.0
39131,2.0,,,,2.0
58319,2.0,3.0,,1.0,6.0
202316,2.0,1.0,2.0,1.0,6.0
56374,3.0,,,,3.0
328066,1.0,,,,1.0
271332,2.0,,,,2.0
270573,1.0,1.0,,,2.0
271343,5.0,4.0,3.0,3.0,15.0
26593,1.0,,,,1.0
270998,3.0,,,,3.0
61820,1.0,,,,1.0
17827,1.0,,,,1.0
396271,2.0,,,,2.0
46621,1.0,,,,1.0
6453,3.0,5.0,2.0,,10.0
55222,1.0,,,,1.0
5650,1.0,,2.0,,3.0
9304,3.0,,,,3.0
15412,4.0,3.0,,,7.0
3491,3.0,3.0,2.0,,8.0
1273,2.0,4.0,,,6.0
22548,3.0,2.0,,,5.0
3549,4.0,6.0,1.0,1.0,12.0
12389,8.0,3.0,2.0,,13.0
8220,1.0,2.0,,,3.0
26615,6.0,7.0,3.0,,16.0
22356,6.0,,,,6.0
37271,5.0,2.0,,,7.0
34224,3.0,,,,3.0
31133,6.0,2.0,,,8.0
9009,3.0,,2.0,4.0,9.0
42929,4.0,,,,4.0
35913,1.0,,8.0,,9.0
212477,2.0,,,,2.0
199524,2.0,4.0,,,6.0
35598,3.0,2.0,,,5.0
60171,3.0,1.0,,,4.0
35007,2.0,,,,2.0
9299,3.0,1.0,1.0,,5.0
42652,2.0,,,,2.0
134578,1.0,,,,1.0
7018,7.0,,2.0,,9.0
28761,4.0,,,,4.0
55329,2.0,,,,2.0
38082,1.0,6.0,,,7.0
16322,1.0,,2.0,,3.0
33491,7.0,,1.0,4.0,12.0
16397,1.0,,,,1.0
13213,1.0,,,,1.0
3267,4.0,3.0,,,7.0
7029,5.0,,,,5.0
59605,4.0,3.0,,,7.0
20712,2.0,2.0,1.0,2.0,7.0
53013,5.0,5.0,1.0,,11.0
9930,1.0,1.0,,,2.0
47478,2.0,,,,2.0
43298,7.0,,2.0,,9.0
32098,4.0,3.0,,1.0,8.0
17072,4.0,2.0,,3.0,9.0
30517,2.0,,,,2.0
17639,4.0,,,,4.0
